,countrycode,year,rgdpe,pop_x,country,democracy_score,epp,fg,pp,pc,cl,category,Deathperevent,Affectedperevent
14,AGO,2008,5394.97879739,19.842251,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,9.32353894727,2490.56924035
15,AGO,2008,5394.97879739,19.842251,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,9.32353894727,2490.56924035
16,AGO,2009,4675.46842967,20.520103,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,4.33721019821,6116.02680552
17,AGO,2009,4675.46842967,20.520103,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,4.33721019821,6116.02680552
18,AGO,2010,6130.02698427,21.219954,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,1.17813638993,8943.51608868
19,AGO,2011,7527.50817417,21.942296,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,5.92463067675,4132.84006377
21,ALB,1979,3874.42412229,2.62629,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,13.3267841708,133.267841708
23,ALB,1985,4021.35821248,2.966799,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,21.0664760235,1198.42968802
24,ALB,1985,4021.35821248,2.966799,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,21.0664760235,1198.42968802
25,ALB,1992,2632.10804705,3.240613,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,3.3944195126,10800.4257219
26,ALB,1995,4315.89440078,3.106727,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,1.28752864349,1126.58756305
27,ALB,1996,5141.3315232,3.092034,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,2.26388196249,21.3451727892
28,ALB,2002,5075.97482595,3.123112,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,1.12067706826,30719.9997951
29,ALB,2002,5075.97482595,3.123112,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,1.12067706826,30719.9997951
32,ALB,2012,10001.6400824,2.880667,Albania,5.91,7.0,4.36,5.56,5.0,7.65,Hybrid regime,1.7357091257,79842.6197822
33,ARG,1966,3538.22575054,22.6217480754,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,2.74072542022,5304.62984558
34,ARG,1967,3643.53107755,22.9445131922,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,2.4406706532,9239.68175853
35,ARG,1973,4286.00391536,25.213388,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,2.37968812442,11.8984406221
36,ARG,1974,4407.91220429,25.644505,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,3.8994708613,3899.4708613
37,ARG,1977,4272.70208918,26.878567,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,2.60430550483,1491.89501062
39,ARG,1980,4577.57074727,28.105889,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,1.45876901456,1423.1892825
40,ARG,1984,4979.6154032,29.920907,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,1.00264340249,401.52526125
48,ARG,1992,8370.41588347,33.655149,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,1.66393558382,1366.16539716
49,ARG,1992,8370.41588347,33.655149,Argentina,6.96,9.17,5.0,6.11,6.88,7.65,Flawed democracy,1.66393558382,1366.16539716
76,ARM,1997,2699.36499292,3.137652,Armenia,3.88,4.33,2.86,4.44,1.88,5.88,Authoritarian,1.2748386373,2230.96761527
77,AUS,1967,17031.4410133,12.1016413388,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,5.12327198141,256.163599071
80,AUS,1974,19874.5505595,13.7254,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,5.53717924432,3325.22185146
82,AUS,1983,22836.200441,15.318254,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,4.89611936191,718.097506413
98,AUS,1998,33788.6124054,18.709175,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,1.06899422342,811.099367022
118,AUS,2009,41616.3400195,21.77069,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,6.14358111755,419.761615273
119,AUS,2009,41616.3400195,21.77069,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,6.14358111755,419.761615273
120,AUS,2009,41616.3400195,21.77069,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,6.14358111755,419.761615273
121,AUS,2009,41616.3400195,21.77069,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,6.14358111755,419.761615273
122,AUS,2010,43154.9615228,22.162863,Australia,9.01,9.58,8.93,7.78,8.75,10.0,Full democracy,1.57921835279,8392.41753198
128,AUT,1999,35681.7606489,8.032953,Austria,8.41,9.58,7.86,8.33,6.88,9.41,Full democracy,6.22436107867,1244.87221573
134,AZE,1997,2192.48410736,7.921789,Azerbaijan,2.65,0.5,2.14,3.33,3.75,3.53,Authoritarian,1.38857523219,9467.55840127
137,AZE,2000,2641.58927869,8.117742,Azerbaijan,2.65,0.5,2.14,3.33,3.75,3.53,Authoritarian,3.8187959164,405.777862859
167,BEN,1985,1685.99983417,4.287263,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,14.2281917391,110793.296329
168,BEN,1987,1324.45527556,4.546136,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,14.2978564654,88.6467100852
169,BEN,1989,1207.91838352,4.83624,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,47.1440623294,498.527781913
170,BEN,1995,1136.07937794,5.985658,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,3.34132020239,20549.1192447
171,BEN,1996,1196.95329161,6.176318,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,6.15253294924,12041.8022518
172,BEN,1996,1196.95329161,6.176318,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,6.15253294924,12041.8022518
173,BEN,1997,1254.56422272,6.361301,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,7.38842573241,35.5273237346
174,BEN,1998,1281.48333462,6.546493,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,11.9147763543,80.501117163
177,BEN,2000,1455.14370259,6.949366,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,50.5082046333,1116.93642269
178,BEN,2001,1502.61323255,7.174911,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,52.6835803259,1360.295619
179,BEN,2002,1603.86587626,7.414744,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,6.74332114501,60.9596231508
182,BEN,2007,1750.66398431,8.707637,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,1.14841718827,1249.93726771
183,BEN,2008,1785.19371916,8.973525,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,2.67453425493,8871.82015986
184,BEN,2008,1785.19371916,8.973525,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,2.67453425493,8871.82015986
185,BEN,2009,1774.6689252,9.240982,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,1.08213607601,12948.5156448
186,BEN,2010,1728.15205466,9.509798,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,3.73299201518,43746.3024977
187,BEN,2010,1728.15205466,9.509798,Benin,5.67,6.5,5.36,5.0,5.63,5.88,Hybrid regime,3.73299201518,43746.3024977
199,BFA,1998,1041.18254125,10.969093,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,2.37029624965,40.2038710037
201,BFA,2001,1099.87786685,11.94374,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,249.335635237,1743.17257408
202,BFA,2003,1176.14931868,12.651596,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,83.6258129014,564.829923434
203,BFA,2004,1195.99524197,13.028039,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,40.4512144921,213.616185828
205,BFA,2006,1256.27820457,13.834195,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,56.6711687959,535.051009473
206,BFA,2007,1235.65468228,14.264002,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,54.0521517033,4970.83497324
207,BFA,2007,1235.65468228,14.264002,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,54.0521517033,4970.83497324
208,BFA,2008,1247.77479622,14.709011,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,18.8999790673,1967.16149033
209,BFA,2008,1247.77479622,14.709011,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,18.8999790673,1967.16149033
210,BFA,2009,1246.89271166,15.165856,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,13.1215804766,5090.11822346
211,BFA,2009,1246.89271166,15.165856,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,13.1215804766,5090.11822346
212,BFA,2010,1321.52699877,15.632066,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,27.4116038149,4456.28875927
213,BFA,2010,1321.52699877,15.632066,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,27.4116038149,4456.28875927
214,BFA,2012,1446.16674489,16.590813,Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime,1.08493779057,1265.76075567
216,BGD,1960,1474.71988925,52.741864492,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,154.50724161,3792.05403386
217,BGD,1963,1565.40423392,56.2134704766,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,392.770626201,17789.3304135
218,BGD,1964,1530.18952794,57.3462101984,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.23138318926,13.9503551714
219,BGD,1965,1486.81034751,58.2405210726,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,839.982182491,268884.956927
220,BGD,1966,1481.49059842,59.4112201294,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,7.48175174709,19356.613069
221,BGD,1966,1481.49059842,59.4112201294,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,7.48175174709,19356.613069
222,BGD,1967,1414.35678664,60.6375572521,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.50072008379,3.29828589843
223,BGD,1968,1424.4732689,61.8998156988,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.73829571359,128479.817108
224,BGD,1968,1424.4732689,61.8998156988,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.73829571359,128479.817108
225,BGD,1969,1455.41137016,63.1990347445,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,13.4337494779,3156.26656019
226,BGD,1970,1527.28021041,65.048701,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4616.80241701,56082.7494464
227,BGD,1972,1362.09688558,67.578486,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.95952176259,369.940220324
228,BGD,1973,1122.44501123,68.658472,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,27.6732054276,728.242248094
229,BGD,1974,1105.78730661,69.83796,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,410.951293537,544116.695276
230,BGD,1976,1163.64218226,72.930206,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.47401201637,27424.8505482
231,BGD,1976,1163.64218226,72.930206,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.47401201637,27424.8505482
232,BGD,1977,1185.7501278,74.848466,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.03927227224,1045.27192314
233,BGD,1977,1185.7501278,74.848466,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.03927227224,1045.27192314
234,BGD,1977,1185.7501278,74.848466,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.03927227224,1045.27192314
235,BGD,1978,1180.40246004,76.948378,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,6.80326231178,2599.79489106
236,BGD,1978,1180.40246004,76.948378,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,6.80326231178,2599.79489106
239,BGD,1980,1185.25001255,81.364176,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.09271028567,61458.5588626
240,BGD,1980,1185.25001255,81.364176,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.09271028567,61458.5588626
241,BGD,1981,1175.93478219,83.599582,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,12.9785337922,24366.1505389
242,BGD,1982,1141.4503664,85.868228,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,31.3969446301,2020.07196422
243,BGD,1983,1134.12419923,88.181211,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.27323218548,40628.5529465
244,BGD,1983,1134.12419923,88.181211,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.27323218548,40628.5529465
245,BGD,1984,1206.13975002,90.55954,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,13.2509507005,331273.767513
246,BGD,1985,1225.10502842,93.015182,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,81.4651956495,12531.825181
247,BGD,1985,1225.10502842,93.015182,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,81.4651956495,12531.825181
248,BGD,1986,1212.5393402,95.550798,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.32215885139,11076.4817126
249,BGD,1986,1212.5393402,95.550798,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.32215885139,11076.4817126
250,BGD,1986,1212.5393402,95.550798,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.32215885139,11076.4817126
251,BGD,1987,1201.59565298,98.149262,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,15.4356738821,154362.851959
252,BGD,1987,1201.59565298,98.149262,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,15.4356738821,154362.851959
253,BGD,1988,1215.27870458,100.779551,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,11.5962678447,183814.273989
254,BGD,1988,1215.27870458,100.779551,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,11.5962678447,183814.273989
255,BGD,1988,1215.27870458,100.779551,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,11.5962678447,183814.273989
256,BGD,1989,1333.62824346,103.400571,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.21081399057,980.329853949
257,BGD,1989,1333.62824346,103.400571,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.21081399057,980.329853949
258,BGD,1989,1333.62824346,103.400571,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.21081399057,980.329853949
259,BGD,1990,1355.79618299,105.983136,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.26954718532,9745.27683348
260,BGD,1990,1355.79618299,105.983136,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,4.26954718532,9745.27683348
261,BGD,1991,1384.41480644,108.509679,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,436.065554422,61552.5705008
262,BGD,1991,1384.41480644,108.509679,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,436.065554422,61552.5705008
263,BGD,1991,1384.41480644,108.509679,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,436.065554422,61552.5705008
266,BGD,1993,1401.01842496,113.442354,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.00983135452,48850.9285812
267,BGD,1993,1401.01842496,113.442354,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.00983135452,48850.9285812
268,BGD,1993,1401.01842496,113.442354,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.00983135452,48850.9285812
269,BGD,1994,1437.50063086,115.91371,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.38465070266,4546.9556621
270,BGD,1994,1437.50063086,115.91371,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.38465070266,4546.9556621
271,BGD,1995,1460.9243976,118.427768,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.33095695372,48167.5800898
272,BGD,1995,1460.9243976,118.427768,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.33095695372,48167.5800898
273,BGD,1995,1460.9243976,118.427768,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,5.33095695372,48167.5800898
274,BGD,1996,1464.2565394,120.987124,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.93133499617,16412.2423474
275,BGD,1996,1464.2565394,120.987124,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.93133499617,16412.2423474
276,BGD,1996,1464.2565394,120.987124,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.93133499617,16412.2423474
277,BGD,1997,1434.27131442,123.574107,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.19563882424,9544.80294161
278,BGD,1997,1434.27131442,123.574107,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.19563882424,9544.80294161
279,BGD,1997,1434.27131442,123.574107,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.19563882424,9544.80294161
280,BGD,1997,1434.27131442,123.574107,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.19563882424,9544.80294161
281,BGD,1998,1413.24486762,126.169583,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.25355755515,30612.1603017
282,BGD,1998,1413.24486762,126.169583,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.25355755515,30612.1603017
283,BGD,1998,1413.24486762,126.169583,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.25355755515,30612.1603017
284,BGD,1998,1413.24486762,126.169583,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,3.25355755515,30612.1603017
294,BGD,2002,1401.0242838,136.228456,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.70302157722,3122.15239377
295,BGD,2002,1401.0242838,136.228456,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.70302157722,3122.15239377
296,BGD,2002,1401.0242838,136.228456,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.70302157722,3122.15239377
297,BGD,2002,1401.0242838,136.228456,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.70302157722,3122.15239377
302,BGD,2004,1440.49918805,140.843786,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.44242227343,87307.0206543
303,BGD,2004,1440.49918805,140.843786,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.44242227343,87307.0206543
304,BGD,2004,1440.49918805,140.843786,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,2.44242227343,87307.0206543
308,BGD,2006,1596.93388818,144.839238,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,1.06324779201,125.304442709
309,BGD,2007,1761.85310833,146.592687,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,9.75662585406,39591.190521
310,BGD,2007,1761.85310833,146.592687,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,9.75662585406,39591.190521
311,BGD,2007,1761.85310833,146.592687,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,9.75662585406,39591.190521
312,BGD,2007,1761.85310833,146.592687,Bangladesh,5.73,7.42,5.07,5.0,4.38,6.76,Hybrid regime,9.75662585406,39591.190521
331,BGR,1977,7357.92199,8.790072,Bulgaria,7.01,9.17,6.07,7.22,4.38,8.24,Flawed democracy,2.2752942183,18.7711773009
335,BGR,2005,10815.4380706,7.682614,Bulgaria,7.01,9.17,6.07,7.22,4.38,8.24,Flawed democracy,5.07639717419,1588.00116731
336,BGR,2006,11816.6315304,7.624611,Bulgaria,7.01,9.17,6.07,7.22,4.38,8.24,Flawed democracy,2.36077617599,2.62308463999
341,BGR,2014,17461.623812,7.201308,Bulgaria,7.01,9.17,6.07,7.22,4.38,8.24,Flawed democracy,1.4580684509,593.433859516
342,BGR,2014,17461.623812,7.201308,Bulgaria,7.01,9.17,6.07,7.22,4.38,8.24,Flawed democracy,1.4580684509,593.433859516
343,BIH,2000,5547.73726574,3.792878,Bosnia and Herzegovina,4.87,6.5,2.93,5.0,3.75,6.18,Hybrid regime,1.58191220493,106.251769764
346,BIH,2012,9379.15315043,3.828419,Bosnia and Herzegovina,4.87,6.5,2.93,5.0,3.75,6.18,Hybrid regime,1.04481771718,2702.68222992
347,BIH,2014,10027.5053002,3.817554,Bosnia and Herzegovina,4.87,6.5,2.93,5.0,3.75,6.18,Hybrid regime,6.81064367393,262105.002313
348,BLR,1995,7511.63927224,10.159731,Belarus,3.54,1.33,3.57,3.89,6.25,2.65,Authoritarian,1.27956143721,27.7566404071
354,BOL,1965,1768.51471096,3.99477583106,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,10.0130775021,125.163468777
355,BOL,1966,1826.48034313,4.09031790678,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,3.42271684477,1491.32662522
356,BOL,1968,1645.9045818,4.29102023372,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,5.59307546755,6105.77405208
357,BOL,1969,1673.8762131,4.39656038718,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,4.09410957995,17.5136909809
358,BOL,1974,2083.72616242,4.902173,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,6.32372623324,3671.84103866
359,BOL,1977,2133.50129185,5.233677,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,1.91070255195,17196.3229676
360,BOL,1978,2036.18917595,5.35032,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,7.47618834014,33269.0381136
361,BOL,1983,2076.46726869,5.959962,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,41.9465761694,8389.31523389
362,BOL,1986,2159.67515372,6.337893,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,4.57565313898,48912.1542443
363,BOL,1987,2185.56678953,6.464736,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,3.86713394019,3093.70715216
364,BOL,1989,2103.48961198,6.723046,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,9.96572089496,14.4279839823
365,BOL,1991,2270.14605252,6.992521,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,47.0502698526,2526.27056823
366,BOL,1992,2322.5024881,7.131699,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,3.71580460701,2849.95202405
367,BOL,1992,2322.5024881,7.131699,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,3.71580460701,2849.95202405
368,BOL,1997,3077.73953942,7.87086,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,4.7008840203,12116.4650369
369,BOL,1997,3077.73953942,7.87086,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,4.7008840203,12116.4650369
370,BOL,1998,3098.8029741,8.026257,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,6.64485741403,757.430684481
371,BOL,1998,3098.8029741,8.026257,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,6.64485741403,757.430684481
372,BOL,1998,3098.8029741,8.026257,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,6.64485741403,757.430684481
373,BOL,1999,3091.96898667,8.18271,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,2.19976022614,389.113142223
374,BOL,1999,3091.96898667,8.18271,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,2.19976022614,389.113142223
375,BOL,2000,3109.92581723,8.339512,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,2.15839967614,1935.78473177
376,BOL,2000,3109.92581723,8.339512,Bolivia,5.63,7.0,5.36,5.0,3.75,7.06,Hybrid regime,2.15839967614,1935.78473177
